Datetime,MWh_N,MWh_NE,MWh_S,MWh_SE
2000,21845439.3,51499513.7,59171614.69,225974265.07
2001,20329050.7,46373702.08,59995841.27,203805252.66
2002,20492954.82,49286808.65,58626287.48,219081387.77
2003,24017677.85,52915812.19,59903504.85,229013907.9
2004,26119987.58,55079301.15,63566791.54,239370871.69
2005,27171258.81,58647636.41,66198804.13,248428554.21
2006,29373906.42,60535686.72,68779630.93,257153244.41
2007,30455816.1,63433214.66,71544827.28,270201973.24
2008,31886881.72,65663124.31,74020470.72,276477933.99
2009,31435674.12,65728954.85,73763492.29,272303862.21
2010,33713105.63,71320387.12,77202678.5,292797795.45
2011,35111830.72,71615751.97,81831395.31,302713509.96
2012,35609600.16,76681266.32,87385567.3,312059048.96
2013,40221836.31,81401705.21,89749041.96,303341865.71
2014,44998449.2,83822070.7,92820186.65,317592715.9
2015,45729996.1,85696773.51,91312082.68,314688360.58
2016,46800294.56,87129205.42,93463354.98,311643811.33
2017,47484189.03,89255141.91,96047999.33,316343241.37
2018,46422474.52,90491215.54,97574614.92,319626827.54
2019,48179826.78,92899108.31,99295154.48,325364559.52
2020,48459693.48,90487180.48,99136636.66,318973472.7
2021,52438320.73,99754562.87,104816980.02,343210029.07
2022,54434576.2,97858859.1,102819188.28,347617959.09
2023,55851054.294,100994347.556,105285850.096,348436517.147
2024,57270480.672,103178054.593,107245908.307,352766476.868
2025,58689907.051,105361761.63,109205966.519,357012633.282
2026,60109333.429,107545468.667,111166024.73,361179110.133
2027,61528759.808,109729175.704,113126082.941,365269712.387
2028,62948186.186,111912882.741,115086141.152,369287959.32
2029,64367612.565,114096589.779,117046199.363,373237113.345
2030,65787038.943,116280296.816,119006257.575,377120205.22
2031,67206465.322,118464003.853,120966315.786,380940056.185
2032,68625891.7,120647710.89,122926373.997,384699297.473
2033,70045318.079,122831417.927,124886432.208,388400387.547
2034,71464744.457,125015124.964,126846490.419,392045627.403
2035,72884170.836,127198832.001,128806548.631,395637174.178
2036,74303597.214,129382539.038,130766606.842,399177053.288
2037,75723023.592,131566246.075,132726665.053,402667169.298
2038,77142449.971,133749953.112,134686723.264,406109315.663
2039,78561876.349,135933660.149,136646781.475,409505183.493
2040,79981302.728,138117367.186,138606839.687,412856369.455
2041,81400729.106,140301074.223,140566897.898,416164382.912
2042,82820155.485,142484781.26,142526956.109,419430652.383
2043,84239581.863,144668488.298,144487014.32,422656531.41
2044,85659008.242,146852195.335,146447072.531,425843303.892
2045,87078434.62,149035902.372,148407130.743,428992188.94
2046,88497860.999,151219609.409,150367188.954,432104345.313
2047,89917287.377,153403316.446,152327247.165,435180875.468
2048,91336713.756,155587023.483,154287305.376,438222829.275
2049,92756140.134,157770730.52,156247363.587,441231207.42
2050,94175566.512,159954437.557,158207421.799,444206964.538
2051,95594992.891,162138144.594,160167480.01,447151012.085
2052,97014419.269,164321851.631,162127538.221,450064220.998
2053,98433845.648,166505558.668,164087596.432,452947424.138
2054,99853272.026,168689265.705,166047654.643,455801418.558
2055,101272698.405,170872972.742,168007712.855,458626967.594
2056,102692124.783,173056679.779,169967771.066,461424802.802
2057,104111551.162,175240386.817,171927829.277,464195625.766
2058,105530977.54,177424093.854,173887887.488,466940109.762
2059,106950403.919,179607800.891,175847945.699,469658901.315
2060,108369830.297,181791507.928,177808003.911,472352621.649
2061,109789256.676,183975214.965,179768062.122,475021868.029
2062,111208683.054,186158922.002,181728120.333,477667215.028
2063,112628109.432,188342629.039,183688178.544,480289215.695
2064,114047535.811,190526336.076,185648236.755,482888402.655
2065,115466962.189,192710043.113,187608294.967,485465289.14
2066,116886388.568,194893750.15,189568353.178,488020369.949
2067,118305814.946,197077457.187,191528411.389,490554122.351
2068,119725241.325,199261164.224,193488469.6,493067006.932
2069,121144667.703,201444871.261,195448527.811,495559468.391
2070,122564094.082,203628578.298,197408586.023,498031936.287
2071,123983520.46,205812285.336,199368644.234,500484825.744
2072,125402946.839,207995992.373,201328702.445,502918538.111
2073,126822373.217,210179699.41,203288760.656,505333461.584
2074,128241799.596,212363406.447,205248818.867,507729971.799
2075,129661225.974,214547113.484,207208877.079,510108432.386
2076,131080652.352,216730820.521,209168935.29,512469195.49
2077,132500078.731,218914527.558,211128993.501,514812602.267
2078,133919505.109,221098234.595,213089051.712,517138983.356
2079,135338931.488,223281941.632,215049109.923,519448659.318
2080,136758357.866,225465648.669,217009168.135,521741941.057
2081,138177784.245,227649355.706,218969226.346,524019130.219
2082,139597210.623,229833062.743,220929284.557,526280519.567
2083,141016637.002,232016769.78,222889342.768,528526393.336
2084,142436063.38,234200476.817,224849400.979,530757027.581
2085,143855489.759,236384183.855,226809459.191,532972690.489
2086,145274916.137,238567890.892,228769517.402,535173642.692
2087,146694342.515,240751597.929,230729575.613,537360137.555
2088,148113768.894,242935304.966,232689633.824,539532421.455
2089,149533195.272,245119012.003,234649692.035,541690734.045
2090,150952621.651,247302719.04,236609750.247,543835308.5
2091,152372048.029,249486426.077,238569808.458,545966371.764
2092,153791474.408,251670133.114,240529866.669,548084144.773
2093,155210900.786,253853840.151,242489924.88,550188842.674
2094,156630327.165,256037547.188,244449983.091,552280675.032
2095,158049753.543,258221254.225,246410041.303,554359846.029
2096,159469179.922,260404961.262,248370099.514,556426554.652
2097,160888606.3,262588668.299,250330157.725,558480994.876
2098,162308032.679,264772375.336,252290215.936,560523355.836
2099,163727459.057,266956082.374,254250274.147,562553821.99
